Data,Canal de atendimento,Denúncia emergencial,Denunciante,Cenário da violação,Município,Frequência,Início das violações,Vítimas,Relação vítima-suspeito,Orientação sexual da vítima,Faixa etária da vítima,Raça\Cor da vítima,Faixa etária do suspeito,Suspeito preso,Raça\Cor do suspeito,Ano,Mês,Dia
2020-07-24 10:07:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,SEMANALMENTE,N/D,20.0,MARIDO,N/D,35 A 39 ANOS,PARDA,40 A 44 ANOS,N/D,PARDA,2020,7,24
2020-07-20 09:37:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,IGUAPE,DIARIAMENTE,HÁ MAIS DE SEIS MESES,10.0,MARIDO,N/D,55 A 59 ANOS,N/D,N/D,N/D,N/D,2020,7,20
2020-07-21 20:36:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,PARAIBUNA,SEMANALMENTE,HÁ MAIS DE SEIS MESES,10.0,EX-MARIDO,N/D,25 A 29 ANOS,BRANCA,30 A 34 ANOS,N/D,BRANCA,2020,7,21
2020-07-26 13:43:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,SEMANALMENTE,HÁ MAIS DE DEZ ANOS,10.0,MARIDO,N/D,70 A 74 ANOS,N/D,70 A 74 ANOS,N/D,N/D,2020,7,26
2020-07-30 17:49:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,DIARIAMENTE,HÁ UMA SEMANA,10.0,MARIDO,N/D,25 A 29 ANOS,BRANCA,N/D,N/D,N/D,2020,7,30
2020-07-17 21:23:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO VICENTE,DIARIAMENTE,HÁ MAIS DE SEIS MESES,10.0,EX-MARIDO,N/D,20 A 24 ANOS,BRANCA,20 A 24 ANOS,N/D,BRANCA,2020,7,17
2020-07-26 13:23:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,PIRACICABA,OCASIONALMENTE,HÁ UM MÊS,10.0,MARIDO,N/D,50 A 54 ANOS,BRANCA,30 A 34 ANOS,N/D,PARDA,2020,7,26
2020-07-16 11:43:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA DA VÍTIMA,BROTAS,DIARIAMENTE,HÁ MAIS DE SEIS MESES,10.0,EX-MARIDO,N/D,35 A 39 ANOS,BRANCA,N/D,N/D,N/D,2020,7,16
2020-07-19 10:08:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,VIA PÚBLICA,SÃO PAULO,DIARIAMENTE,HÁ UMA SEMANA,10.0,COMPANHEIRO (A),N/D,30 A 34 ANOS,PARDA,30 A 34 ANOS,N/D,PRETA,2020,7,19
2020-07-29 11:32:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,AMBIENTE VIRTUAL (NO ÂMBITO DA INTERNET),TABAPUÃ,DIARIAMENTE,HÁ UMA SEMANA,10.0,EX-COMPANHEIRO (A),N/D,50 A 54 ANOS,BRANCA,30 A 34 ANOS,N/D,BRANCA,2020,7,29
2020-07-31 12:50:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,JAÚ,DIARIAMENTE,HÁ MAIS DE DEZ ANOS,10.0,MARIDO,N/D,65 A 69 ANOS,PARDA,65 A 69 ANOS,NÃO,PARDA,2020,7,31
2020-07-30 18:31:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DO SUSPEITO,TREMEMBÉ,SEMANALMENTE,HÁ MAIS DE CINCO ANOS,10.0,OUTROS,N/D,50 A 54 ANOS,BRANCA,35 A 39 ANOS,NÃO,PARDA,2020,7,30
2020-07-22 19:00:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,DIARIAMENTE,HÁ MAIS DE DEZ ANOS,10.0,COMPANHEIRO (A),N/D,65 A 69 ANOS,BRANCA,55 A 59 ANOS,N/D,BRANCA,2020,7,22
2020-07-28 14:37:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,SÃO PAULO,SEMANALMENTE,HÁ MAIS DE UM ANO,10.0,EX-MARIDO,N/D,30 A 34 ANOS,BRANCA,25 A 29 ANOS,N/D,BRANCA,2020,7,28
2020-07-26 02:00:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,CAFELÂNDIA,MENSALMENTE,HÁ MAIS DE SEIS MESES,10.0,COMPANHEIRO (A),N/D,25 A 29 ANOS,BRANCA,20 A 24 ANOS,N/D,BRANCA,2020,7,26
2020-07-19 22:24:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,JANDIRA,DIARIAMENTE,HÁ MAIS DE SEIS MESES,10.0,MARIDO,N/D,,N/D,N/D,N/D,N/D,2020,7,19
2020-07-24 20:22:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,REGISTRO,OCASIONALMENTE,HÁ UMA SEMANA,10.0,MARIDO,N/D,25 A 29 ANOS,BRANCA,30 A 34 ANOS,N/D,PARDA,2020,7,24
2020-07-16 14:43:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,GUARULHOS,OCASIONALMENTE,HÁ MAIS DE UM ANO,10.0,ESPOSA,N/D,35 A 39 ANOS,PARDA,35 A 39 ANOS,NÃO,BRANCA,2020,7,16
2020-08-11 15:23:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,GARÇA,SEMANALMENTE,HÁ UM MÊS,10.0,COMPANHEIRO (A),N/D,65 A 69 ANOS,BRANCA,N/D,NÃO,PARDA,2020,8,11
2020-08-13 10:26:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,GUARULHOS,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,MARIDO,N/D,25 A 29 ANOS,PARDA,30 A 34 ANOS,N/D,PARDA,2020,8,13
2020-08-11 18:12:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,VIA PÚBLICA,MAUÁ,OCASIONALMENTE,HÁ MAIS DE DEZ ANOS,10.0,EX-COMPANHEIRO (A),N/D,25 A 29 ANOS,PARDA,25 A 29 ANOS,N/D,PRETA,2020,8,11
2020-08-14 08:56:00,TELEFÔNICO,SITUAÇÃO FLAGRANTE - ATÉ 24H DA OCORRÊNCIA - SEM FREQUÊNCIA,A PRÓPRIA VÍTIMA,CASA DE FAMILIARES,HORTOLÂNDIA,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,VIZINHO (A),N/D,45 A 49 ANOS,BRANCA,40 A 44 ANOS,N/D,BRANCA,2020,8,14
2020-08-15 15:45:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,JUNDIAÍ,OCASIONALMENTE,NÃO SABE INFORMAR,10.0,MARIDO,N/D,20 A 24 ANOS,PARDA,20 A 24 ANOS,N/D,BRANCA,2020,8,15
2020-08-07 15:20:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,OCASIONALMENTE,HÁ MAIS DE UM ANO,10.0,MARIDO,N/D,45 A 49 ANOS,PARDA,45 A 49 ANOS,N/D,PARDA,2020,8,7
2020-08-11 09:39:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,MARÍLIA,DIARIAMENTE,HÁ MAIS DE UM ANO,10.0,COMPANHEIRO (A),N/D,18 A 19 ANOS,PARDA,18 A 19 ANOS,NÃO,PRETA,2020,8,11
2020-08-14 11:43:00,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,JAÚ,SEMANALMENTE,HÁ MAIS DE DEZ ANOS,10.0,EX-COMPANHEIRO (A),N/D,50 A 54 ANOS,BRANCA,50 A 54 ANOS,NÃO,BRANCA,2020,8,14
2020-08-12 11:19:00,TELEFÔNICO,NÃO,TERCEIRO,ÓRGÃOS PÚBLICOS,RIBEIRÃO PIRES,ÚNICA OCORRÊNCIA,NÃO SE APLICA,20.0,OUTROS,N/D,45 A 49 ANOS,PRETA,35 A 39 ANOS,N/D,BRANCA,2020,8,12
2020-08-11 21:10:00,TELEFÔNICO,NÃO,TERCEIRO,CASA DA VÍTIMA,MAUÁ,SEMANALMENTE,HÁ MAIS DE SEIS MESES,20.0,NAMORADO(A),N/D,40 A 44 ANOS,BRANCA,35 A 39 ANOS,N/D,N/D,2020,8,11
2020-08-02 18:41:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,JAÚ,SEMANALMENTE,HÁ MAIS DE UM ANO,10.0,EX-COMPANHEIRO (A),N/D,35 A 39 ANOS,BRANCA,55 A 59 ANOS,N/D,PARDA,2020,8,2
2020-08-09 14:44:00,TELEFÔNICO,NÃO,TERCEIRO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,ATIBAIA,OCASIONALMENTE,NÃO SABE INFORMAR,10.0,PADRASTO/MADRASTA,N/D,18 A 19 ANOS,N/D,40 A 44 ANOS,N/D,N/D,2020,8,9
2020-08-11 21:51:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,DIARIAMENTE,HÁ MAIS DE SEIS MESES,10.0,MARIDO,N/D,20 A 24 ANOS,BRANCA,40 A 44 ANOS,N/D,BRANCA,2020,8,11
2020-08-12 11:19:00,TELEFÔNICO,NÃO,TERCEIRO,ÓRGÃOS PÚBLICOS,RIBEIRÃO PIRES,ÚNICA OCORRÊNCIA,NÃO SE APLICA,20.0,OUTROS,N/D,45 A 49 ANOS,PRETA,55 A 59 ANOS,N/D,N/D,2020,8,12
2020-08-14 19:56:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,DIARIAMENTE,HÁ MAIS DE CINCO ANOS,10.0,MARIDO,N/D,40 A 44 ANOS,PARDA,45 A 49 ANOS,N/D,PARDA,2020,8,14
2020-08-15 03:59:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,DIARIAMENTE,NÃO SABE INFORMAR,10.0,MARIDO,N/D,40 A 44 ANOS,PARDA,50 A 54 ANOS,N/D,N/D,2020,8,15
2020-08-01 08:50:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,ALUMÍNIO,SEMANALMENTE,HÁ MAIS DE SEIS MESES,10.0,EX-NAMORADO (A),N/D,30 A 34 ANOS,BRANCA,50 A 54 ANOS,N/D,BRANCA,2020,8,1
2020-08-09 14:36:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,VIA PÚBLICA,FLÓRIDA PAULISTA,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,OUTROS,N/D,20 A 24 ANOS,PARDA,25 A 29 ANOS,NÃO,BRANCA,2020,8,9
2020-08-07 12:43:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,MARÍLIA,SEMANALMENTE,HÁ MAIS DE SEIS MESES,10.0,N/D,N/D,55 A 59 ANOS,BRANCA,55 A 59 ANOS,N/D,BRANCA,2020,8,7
2020-08-08 18:18:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,MOGI DAS CRUZES,OCASIONALMENTE,HÁ MAIS DE UM ANO,10.0,MARIDO,N/D,30 A 34 ANOS,PRETA,35 A 39 ANOS,N/D,PRETA,2020,8,8
2020-08-10 18:04:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,DIARIAMENTE,HÁ MAIS DE UM ANO,10.0,MARIDO,N/D,55 A 59 ANOS,N/D,60 A 64 ANOS,N/D,BRANCA,2020,8,10
2020-08-08 14:55:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,FERRAZ DE VASCONCELOS,SEMANALMENTE,HÁ MAIS DE DEZ ANOS,10.0,MARIDO,N/D,30 A 34 ANOS,PARDA,40 A 44 ANOS,TEMPORÁRIA,PARDA,2020,8,8
2020-08-14 11:53:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,SEMANALMENTE,HÁ MAIS DE CINCO ANOS,10.0,MARIDO,N/D,25 A 29 ANOS,PARDA,30 A 34 ANOS,N/D,BRANCA,2020,8,14
2020-08-31 14:47:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DA VÍTIMA,CARAGUATATUBA,DIARIAMENTE,HÁ UM MÊS,10.0,NAMORADO(A),N/D,35 A 39 ANOS,BRANCA,45 A 49 ANOS,N/D,PARDA,2020,8,31
2020-08-20 16:29:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA DA VÍTIMA,JUNDIAÍ,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,N/D,N/D,40 A 44 ANOS,BRANCA,N/D,N/D,N/D,2020,8,20
2020-08-31 19:47:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,GUARULHOS,MENSALMENTE,HÁ MAIS DE CINCO ANOS,10.0,COMPANHEIRO (A),N/D,40 A 44 ANOS,PARDA,30 A 34 ANOS,N/D,PARDA,2020,8,31
2020-08-16 14:50:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO BERNARDO DO CAMPO,DIARIAMENTE,HÁ MAIS DE CINCO ANOS,10.0,COMPANHEIRO (A),N/D,40 A 44 ANOS,BRANCA,30 A 34 ANOS,N/D,BRANCA,2020,8,16
2020-08-24 13:00:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,"BAR, RESTAURANTE, LANCHONETE",SÃO PAULO,MENSALMENTE,HÁ MAIS DE UM ANO,10.0,COMPANHEIRO (A),N/D,35 A 39 ANOS,PARDA,35 A 39 ANOS,NÃO,PRETA,2020,8,24
2020-08-20 11:48:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SÃO PAULO,DIARIAMENTE,HÁ MAIS DE DEZ ANOS,10.0,PAI,N/D,30 A 34 ANOS,PARDA,45 A 49 ANOS,N/D,PRETA,2020,8,20
2020-08-31 18:44:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA DO SUSPEITO,IARAS,DIARIAMENTE,HÁ UM MÊS,10.0,VIZINHO (A),N/D,45 A 49 ANOS,PARDA,60 A 64 ANOS,NÃO,BRANCA,2020,8,31
2020-08-29 14:50:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA ONDE RESIDE A VÍTIMA E O SUSPEITO,SUZANO,SEMANALMENTE,HÁ MAIS DE CINCO ANOS,10.0,COMPANHEIRO (A),N/D,25 A 29 ANOS,N/D,25 A 29 ANOS,N/D,N/D,2020,8,29
2020-08-19 21:04:00,TELEFÔNICO,NÃO,ANÔNIMO,CASA DO SUSPEITO,PROMISSÃO,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,PRIMO(A),N/D,12 A 14 ANOS,PRETA,25 A 29 ANOS,N/D,BRANCA,2020,8,19
2020-08-17 18:55:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,CASA DE FAMILIARES,ITUPEVA,ÚNICA OCORRÊNCIA,NÃO SE APLICA,20.0,EX-MARIDO,N/D,,N/D,45 A 49 ANOS,NÃO,N/D,2020,8,17
2020-08-28 09:25:00,TELEFÔNICO,NÃO,A PRÓPRIA VÍTIMA,ÓRGÃOS PÚBLICOS,SÃO PAULO,ÚNICA OCORRÊNCIA,NÃO SE APLICA,10.0,DESCONHECIDO(A),N/D,60 A 64 ANOS,PRETA,25 A 29 ANOS,N/D,PARDA,2020,8,28
